"STATUSES_COUNT","FRIENDS_COUNT","LISTED_COUNT","USER_FAVORITES","DESCRIPTION_LEN","HAS_URL","HAS_LOCATION","REPLIES","MENTIONS","RETWEETS_OF_USER_TWEETS","RETWEETS_BY_USER","FAVORITE_COUNT_FOR_USER","HASHTAGS","BROADCAST_COMMS","QUOTES","URLS","TWEETS_EXAMINED","USER_AGE","FOLLOWERS_COUNT"
17946,395,44,2,113,1,1,0,706,28,181,102,50,2345,0,3059,3231,542.202922967322,353
1635,265,0,629,19,0,0,1225,1409,74,122,862,2,345,0,1,1629,1250.34338593028,260
5262,1375,13,6140,108,0,0,221,280,419,1121,1197,1869,1808,3,277,3179,1741.9178882451,882
16058,135,2,4195,152,0,0,150,196,160,2207,278,14,779,7,66,3152,798.480573430285,119
3024,173,0,561,39,0,1,444,552,102,897,360,9,1594,22,819,2957,1642.89888361547,271
13614,160,40,6057,66,0,1,941,883,149,823,1092,89,1416,14,34,3106,793.296337319174,403
174,1470,0,0,77,0,0,0,0,0,13,13,0,161,0,89,174,39.55357111547,122
71861,6947,56,144737,8,0,0,213,209,33,460,495,176,862,1,327,1527,760.72581648584,7091
13396,346,4,1454,43,0,0,522,547,32,1277,87,4,1377,2,83,3180,2462.20859426362,168
5843,312,6,1316,71,0,0,896,1588,176,2089,296,37,172,152,156,3190,2399.53158037473,147
28131,397,1,2967,80,1,1,1656,1593,4757,637,1178,398,1138,55,308,3230,509.327494726581,1657
4832,1377,15,6755,151,1,1,1868,1856,2086,383,6584,234,977,64,73,3183,250.030457689544,1161
478,1673,1,0,0,0,0,0,0,6,0,34,1,478,0,37,478,73.8155155599145,1005
11075,1169,4,857,46,0,0,134,138,56,2549,209,155,331,17,109,3011,600.924936856211,1078
21288,287,4,5058,118,0,0,1420,1851,188,484,1425,7,1279,78,498,3162,1324.54008731917,328
10523,1231,99,24437,158,1,1,687,1340,5954,1336,11198,639,1019,89,629,3197,1431.32279565251,4511
4831,3367,0,47,84,0,1,162,238,1760,3018,118,16,24,0,0,3204,97.0327609302849,4680
3260,18934,3,169,0,0,1,64,84,2349,2989,383,57,142,0,0,3195,504.264010930285,19517
59345,1628,7,8553,137,1,1,1355,1747,341,1474,1051,128,330,164,317,3196,1379.8965919488,2579
5784,124,2,1099,15,1,1,53,65,315,2262,214,20,889,346,357,3213,207.687818800655,238
17057,123,12,2143,25,0,1,935,740,18360,1057,15245,29,1479,251,288,3221,300.615006300655,1072
79823,350,2,23111,91,0,1,543,545,1665,1752,355,62,899,1,21,3181,1993.27269148584,959
10851,378,0,4496,0,0,0,85,70,150,2241,208,0,936,51,55,3241,350.649288708063,384
36299,365,22,6234,53,1,1,525,1399,583,2289,885,280,264,185,214,3141,1596.43485583769,1399
13798,145,2,7180,87,0,0,171,174,30,2936,91,14,46,0,1,3154,777.35982111547,112
3610,1307,42,2701,159,0,1,1059,2985,2043,1627,1986,158,179,108,375,3191,918.347413708063,1481
23683,409,23,112,52,0,1,1,4,3,3177,2,0,70,0,70,3248,802.72550398584,137
9946,288,1,1286,62,0,1,61,178,1097,1023,147,2389,2047,155,156,3228,299.334543337692,109
5239,537,3,6433,15,1,0,1277,1086,569,308,8703,671,1826,4,129,3191,653.179184541396,596
24922,327,5,2461,126,0,1,302,528,655,1451,83,182,1295,35,393,3224,696.060272504359,123
1599,474,2,268,160,0,1,399,427,1193,542,744,338,650,28,34,1592,516.089925282137,694
19428,8610,16,8,157,1,1,0,0,156,0,406,3207,3216,0,1028,3216,1099.23247157843,9209
